trad,ss01,ss02,ss03,ss04,ss05,ss06,ss07
忐,,,,,,,
忑,,,,,,,
忒,,,,,,,
忖,,,,,,,
志,,,,,,,
忘,,,,,,,
忙,,,,,,,
忝,,,,,,,
忠,,,,,,,
忡,,,,,,,
忤,,,,,,,
忧,,,,,,,
忪,,,,,,,
快,,,,,,,
忭,,,,,,,
忮,,,,,,,
忰,,,,,,,
忱,,,,,,,
念,卄,,,,,,
忸,,,,,,,
忻,,,,,,,
忼,,,,,,,
忽,,,,,,,
忾,,,,,,,
忿,,,,,,,
怀,,,,,,,
态,,,,,,,
怂,,,,,,,
怃,,,,,,,
怄,,,,,,,
怅,,,,,,,
怆,,,,,,,
怊,,,,,,,
怍,,,,,,,
怎,,,,,,,
怏,,,,,,,
怒,,,,,,,
怔,,,,,,,
怕,,,,,,,
怖,,,,,,,
怙,,,,,,,
怛,,,,,,,
怜,,,,,,,
思,,,,,,,
怠,,,,,,,
怡,,,,,,,
急,,,,,,,
怦,,,,,,,
性,,,,,,,
怨,,,,,,,
怩,,,,,,,
怪,,,,,,,
怫,,,,,,,
怯,,,,,,,
怵,,,,,,,
总,,,,,,,
怼,,,,,,,
怿,,,,,,,
恁,,,,,,,
恂,,,,,,,
恃,,,,,,,
恆,,恒,,恒,恒,恒,恒
恋,,,,,,,
恍,,,,,,,
恐,,,,,,,
恒,,,,,,,
恕,,,,,,,
恙,,,,,,,
恚,,,,,,,
恝,,,,,,,
恢,,,,,,,
恣,,,,,,,
恤,,,,,,恤.er2,
恥,,耻,,耻,耻,耻.er2,耻
恧,,,,,,,
恨,,,,,,,
恩,,,,,,,
恪,,,,,,,
恫,,,,,,,
恬,,,,,,,
恭,,,,,,恭.er2,
息,,,,,,,
恰,,,,,,,
恳,,,,,,,
恶,,,,,,,
恸,,,,,,,
恹,,,,,,,
恺,,,,,,,
恻,,,,,,,
恼,,,,,,,
恽,,,,,,,
恿,,,,,,,
悃,,,,,,,
悄,,,,,,,
悅,,悦,,悦,悦,悦,悦
悉,,,,,,,
悌,,,,,,,
悍,,,,,,,
悒,,,,,,,
悔,,,,,,,
悖,,,,,,,
悚,,,,,,,
悛,,,,,,,
悝,,,,,,,
悟,,,,,,,
悠,,,,,,,
患,,,,,,,
悦,,,,,,,
您,,,,,,,
悪,,,,,,,
悫,,,,,,,
悬,,,,,,,
悭,,,,,,,
悯,,,,,,,
悱,,,,,,,
悲,,,,,,,
悴,,,,,忰,忰,
悵,,怅,,怅,怅,怅,怅
悶,闷,闷,闷,闷,闷,闷,闷
悸,,,,,,,
悻,,,,,,,
悼,,,,,,,
悽,,,,,,,
情,,,,,情.er1,情.er1,
惆,,,,,,,
惇,,,,,,,
惊,,,,,,,
惋,,,,,,,
惑,,,,,,,
惕,,,,,惕.er1,惕.er1,
惘,,,,,,,
惚,,,,,,,
惜,,,,,,,
惝,,,,,,,
惟,,,,,,惟.er2,
惠,,,,,,,
惡,悪,恶,悪,悪,恶,恶,恶
惦,,,,,,,
惧,,,,,,,
惨,,,,,,,
惩,,,,,,,
惫,,,,,,,
惬,,,,,,,
惭,,,,,,,
惮,,,,,,,
惯,,,,,,,
惰,,,,,,,
惱,,恼,恼,恼,恼,恼,恼
惲,,恽,,恽,恽,恽,恽
想,,,,,,,
惴,,,,,,,
惶,,,,,,,
惹,,,,,,,
惺,,,,,,,
惻,,恻,,恻,恻,恻,恻
愀,,,,,,,
愁,,,,,,,
愆,,,,,,,
愈,,,,,,,
愉,,,,,𢖳,𢖳,
愍,,,,,,,
愎,,,,,,,
意,,,,,意.er1,意.er1,
愒,,,,,,,
愕,,,,,,,
愚,,,,,,愚.er2,
愛,,爱,爱,爱,爱,爱,爱
愜,,惬,,惬,惬,惬,惬
感,,,,,𫹯,𫹯,
愠,,,,,,,
愣,,,,,,,
愤,,,,,忿,忿,
愦,,,,,,,
愧,,,,,,愧.er2,
愨,,悫,,悫,悫,悫,悫
愫,,,,,,,
愴,,怆,,怆,怆,怆,怆
愷,,恺,,恺,恺,恺,恺
愾,,忾,,忾,忾,忾,忾
愿,,,,,,𫹵,
慄,,栗,,栗,栗,栗,栗
慇,,,,,,,
慈,,,,,,,
慊,,,,,,,
態,,态,态,态,态,态,态
慌,,,,,,,
慍,,愠,,愠,愠,愠,愠
慎,,,,,慎.er1,慎.er1,
慑,,,,,,,
慕,,,,,,慕.er2,
慘,,惨,惨,惨,惨,惨,惨
慚,,惭,惭,惭,惭,惭,惭
慝,,,,,,,
慟,,恸,,恸,恸,恸,恸
慢,,,,,𭜌,𭜌,
慣,,惯,,惯,惯,惯,惯
慧,,,,,,,
慨,,,,,,慨.er2,
慪,,怄,,怄,怄,怄,怄
慫,,怂,,怂,怂,怂,怂
慭,,,,,,,
慮,,虑,,虑,虑,虑,虑
慰,,,,,,尉,
慳,,悭,,悭,悭,悭,悭
慵,,,,,,,
慶,,庆,庆,庆,庆,庆,庆
慷,,,,,忼,忼,
慼,,戚,,戚,戚,戚,戚
慾,,欲,,欲,欲,欲,欲
憂,,忧,忧,忧,忧,忧,忧
憊,,惫,,惫,惫,惫,惫
憋,,,,,,,
憎,,,,,,,
憐,怜,怜,怜,怜,怜,怜,怜
憑,,凭,凭,凭,凭,凭,凭
憒,,愦,,愦,愦,愦,愦
憔,,,,,,憔.er2,
憖,,慭,,慭,慭,慭,慭
憚,,惮,,惮,惮,惮,惮
憝,,,,,,,
憤,,愤,,愤,忿,忿,愤
憧,,,,,,,
憨,,憨.gbk,,,憨.gbk,憨.er2,憨.gbk
憩,,,,,,,
憫,,悯,悯,悯,悯,悯,悯
憬,,,,,,,
憮,,怃,,怃,怃,怃,怃
憲,,宪,宪,宪,宪,宪,宪
憶,,忆,,忆,忆,忆,忆
憾,,,,,憾.er1,憾.er1,
懂,,,,,㤏,㤏,
懇,恳,恳,恳,恳,恳,恳,恳
懈,,懈.gbk,,,懈.gbk,懈.er2,懈.gbk
應,应,应,应,应,应,应,应
懊,,,,,㤇,㤇,
懋,,,,,,,
懌,,怿,,怿,怿,怿,怿
懍,,懔,,懔,懔,懔,懔
懑,,,,,,,
懒,,,,,懶.er1,懶.er1,
懔,,,,,,,
懞,,蒙,,蒙,蒙.er1,蒙.er1,蒙
懟,,怼,,怼,怼,怼,怼
懣,,懑,,懑,懑,懑,懑
懦,,,,,,懦.er2,
懨,,恹,,恹,恹,恹,恹
懲,惩,惩,惩,惩,惩,惩,惩
懵,,,,,,,
懶,,懒,,懒,懶.er1,懶.er1,懒
懷,怀,怀,怀,怀,怀,怀,怀
懸,𢝝,悬,,悬,悬,悬,悬
懺,,忏,,忏,忏,忏,忏
懼,惧,惧,惧,惧,惧.er1,惧.er1,惧
懾,,慑,,慑,慑,慑,慑
懿,,,,,,,
戀,恋,恋,恋,恋,恋,恋,恋
戆,,,,,,,
戇,,戆,,戆,戆,戆,戆
戈,,,,,,,
戊,,,,,,,
戋,,,,,,,
戌,,,,,,,
戍,,,,,,,
戎,,,,,,,
戏,,,,,,,
成,,,,,,,
我,,,,,,,
戒,,,,,,,
戔,,戋,,戋,戋,戋,戋
戕,,,,,,,
或,,,,,,,
戗,,,,,,,
战,,,,,,,
戚,,,,,,,
戛,,,,,,,
戟,,,,,,戟.er2,
戡,,,,,,,
戢,,,,,,,
戤,,,,,,,
戥,,,,,,,
戧,,戗,,戗,戗,戗,戗
戩,,戬,,戬,戬,戬,戬
截,,,,,,截.er2,
戬,,,,,,,
戮,,,,,,,
戰,战,战,战,战,战,战,战
戲,戏,戏,戏,戏,戏,戏,戏
戳,,,,,,戳.er2,
戴,,,,,,代,
戶,,户,,户,户,户,户
户,,,,,,,
戽,,,,,,,
戾,,,,,,,
房,,,,,,,
所,,,,,,,
扁,,,,,,,
扃,,,,,,,
扇,,,,,,,
扈,,,,,,,
扉,,,,,,,
手,,,,,,,
才,,,,,,,
扎,,,,,,,
扑,,,,,,,
扒,,,,,,,
打,,,,,,,
扔,,,,,,,
托,,,,,,,
扛,,,,,,,
扞,,,,,,,
扠,,,,,叉,叉,
扣,,,,,,,
扦,,,,,,,
执,,,,,,,
扩,,,,,,,
扪,,,,,,,
扫,,,,,,,
扬,,,,,,,
扭,,,,,,,
扮,,,,,,,
扯,,,,,,,
扰,,,,,,,
扳,,,,,,,
扶,,,,,,,
扷,,,,,,,
批,,,,,,,
扼,,,,,,,
找,,,,,,,
承,,,,,,,
技,,,,,,,
抄,,,,,,,
抆,,,,,,,
抉,,,,,,,
把,,,,,,,
抑,,,,,,,
抒,,,,,,,
抓,,,,,,,
投,,,,,,,
抖,,,,,,,
抗,,,,,,,
折,,,,,,,
抚,,,,,,,
抛,,,,,,,
抟,,,,,,,
抠,,,,,,,
抡,,,,,,,
抢,,,,,,,
护,,,,,,,
报,,,,,,,
抨,,,,,,,
抪,,,,,,,
披,,,,,,,
抬,,,,,,,
抱,,,,,,,
抵,,,,,,,
抹,,,,,,,
抻,,,,,,,
押,,,,,,,
抽,,,,,,,
抿,,,,,,,
拂,,,,,,,
拄,,,,,,,
担,,,,,,,
拆,,,,,,,
拇,,,,,,,
拈,,,,,,,
拉,,,,,,,
拊,,,,,,,
拋,,抛,,抛,抛,抛,抛
拌,,,,,,,
拍,,,,,,,
拎,,,,,,,
拐,,,,,,,
拒,,,,,,,
拓,,,,,,,
拔,,,,,,,
拖,,,,,,,
拗,,,,,,,
拘,,,,,,,
拙,,,,,,,
拚,,,,,,拼,
招,,,,,,,
拜,,,,,,,
拟,,,,,,,
拢,,,,,,,
拣,,,,,,,
拥,,,,,,,
拦,,,,,,,
拧,,,,,,,
拨,,,,,,,
择,,,,,,,
括,,,,,,,
拭,,,,,,,
拮,,,,,,,
拯,,,,,,,
拱,,,,,,,
拳,,,,,,,
拴,,,,,,,
拶,,,,,,,
拷,,,,,,,
拼,,,,,,,
拽,,,,,,,
拾,,,,,,,
拿,,,,,,,
持,,,,,,,
挂,,,,,,,
指,,,,,,,
挈,,,,,,,
按,,,,,,,
挎,,,,,,,
挑,,,,,,,
挖,,,,,,,
挚,,,,,,,
挛,,,,,,,
挜,,,,,,,
挝,,,,,,,
挞,,,,,,,
挟,,,,,,,
挠,,,,,,,
挡,,,,,,,
挢,,,,,,,
挣,,,,,,,
挤,,,,,,,
挥,,,,,,,
挦,,,,,,,
挨,,,,,,,
挩,,捝,,捝,捝,捝,捝
挪,,,,,,,
挫,,,,,,,
振,,,,,,,
挲,,,,,,,
挹,,,,,,,
挺,,,,,,挺.er2,
挽,,,,,,,
挾,,挟,,挟,挟,挟,挟
捂,,,,,,,
捃,,,,,,,
捅,,,,,,,
捆,,,,,,,
捉,,,,,,,
捋,,,,,,,
捌,,,,,,,
捍,,,,,,扞,
捎,,,,,,,
捏,,,,,,,
捐,,,,,,,
捕,,,,,,,
捝,,,,,,,
捞,,,,,,,
损,,,,,,,
捡,,,,,,拣,
换,,,,,,,
捣,,,,,,㧅,
捧,,,,,,,
捨,,舍,,舍,舍,舍,舍
捩,,,,,,,
捫,,扪,,扪,扪,扪,扪
捭,,,,,,,
据,,,,,,,
捱,,挨,,挨,挨,挨,挨
捲,,卷,,卷,卷,卷,卷
捶,,,,,,,
捷,,,,,,,
捺,,,,,,,
捻,,,,,,,
掀,,,,,,㧥,
掂,,,,,,,
掃,,扫,扫,扫,扫,扫,扫
掄,,抡,,抡,抡,抡,抡
掇,,,,,,,
授,,,,,,,
掉,,,,,,,
掊,,,,,,,
掌,,,,,,,
掎,,,,,,,
掏,,,,,,,
掐,,,,,,掐.er2,
排,,,,,,,
掖,,,,,,,
掗,,挜,,挜,挜,挜,挜
掘,,,,,,,
掙,,挣,,挣,挣,挣,挣
掛,挂,挂,,挂,挂,挂,挂
掠,,,,,,,
採,,采,,采,采,采,采
探,,,,,,,
掣,,,,,,,
接,,,,,,,
控,,,,,,,
推,,,,,,推.er2,
掩,,,,,,,
措,,,,,,,
掬,,,,,,匊,
掭,,,,,,,
掮,,,,,,,
掰,,,,,,,
掳,,,,,虏,虏,
掴,,,,,,,
掷,,,,,,,
掸,,,,,,,
掺,,,,,,,
掼,,,,,,,
掾,,,,,,,
揀,,拣,,拣,拣,拣,拣
揄,,,,,,,
揆,,,,,,,
揉,,,,,,,
揍,,,,,,,
揎,,,,,,,
描,,,,,,,
提,,,,,,,
插,,,,,,臿.er2,
揖,,,,,,揖.er2,
揚,,扬,,扬,扬,扬,扬
換,,换,,换,换,换,换
揠,,,,,,,
握,,,,,,,
揣,,,,,,,
揩,,,,,,,
揪,,,,,,,
揭,,,,,,,
揮,,挥,挥,挥,挥,挥,挥
揲,,,,,,,
援,,,,,,,
揶,,,,,,,
揹,,,,,,,
揽,,,,,,,
揾,,,,,,,
揿,,,,,,,
搀,,,,,,,
搁,,,,,,,
搂,,,,,,,
搅,,,,,,,
搆,,,,,,,
搋,,,,,,,
搌,,,,,,,
損,,损,,损,损,损,损
搏,,,,,,搏.er2,
搐,,,,,,,
搓,,搓.gbk,,,搓.gbk,搓.gbk,搓.gbk
搔,,,,,,,
搖,,摇,,摇,摇,扷,摇
搗,,捣,,捣,捣,㧅,捣
搛,,,,,,,
搜,,,,,,叟.er2,
搞,,,,,,搞.er2,
搠,,,,,,,
搡,,,,,搡.er1,搡.er1,
搦,,,,,,,
搧,,,,,扇,扇,
搪,,,,,,,
搬,,,,,,搬.er2,
搭,,,,,,,
搴,,,,,,,
搵,,揾,,揾,揾,揾,揾
搶,,抢,,抢,抢,抢,抢
携,,,,,,携.er2,
搽,,,,,,,
搾,,,,,,,
搿,,,,,,,
摁,,,,,,,
摄,,,,,,摄.er2,
摅,,,,,,,
摆,,,,,,,
摇,,,,,,扷,
摈,,,,,,,
摊,,,,,,摊.er2,
摑,,掴,,掴,掴,掴,掴
摒,,,,,屏,屏,
摔,,,,,,,
摘,,,,,,摘.er2,
摜,,掼,,掼,掼,掼,掼
摞,,,,,,,
摟,,搂,,搂,搂,搂,搂
摧,,,,,,摧.er2,
摩,,,,,,𭙕,
摭,,,,,,,
摯,,挚,挚,挚,挚,挚,挚
摳,,抠,,抠,抠,抠,抠
摶,,抟,,抟,抟,抟,抟
摸,,,,,,,
摹,,,,,,,
摺,,折,,折,折,折,折
摻,,掺,,掺,掺,掺,掺
撂,,,,,,,
撄,,,,,,,
撅,,,,,,抉,
撇,,,,,,,
撈,,捞,捞,捞,捞,捞,捞
撉,,,,,,敦,
撏,,挦,,挦,挦,挦,挦
撐,,撑,,撑,撑,撑,撑
撑,,,,,,,
撒,,,,,,撒.er2,
撓,,挠,,挠,挠,挠,挠
撕,,,,,,撕.er2,
撖,,,,,,,
撙,,,,,撙.er1,撙.er1,
撚,,,,,,,
撝,,㧑,,㧑,㧑,㧑,㧑
撞,,,,,,𢬂,
撟,,挢,,挢,挢,挢,挢
撢,,,,,,,
撣,,掸,,掸,掸,掸,掸
撤,,,,,𢪃,𢪃,
撥,拨,拨,𫝼.sgp,𫝼.sgp,拨,拨,拨
撩,,,,,,𢩪,
撫,,抚,撫.sgp,撫.sgp,抚,抚,抚
撬,,,,,,,
播,,,,,抪,抪,
撮,,,,,,撮.er2,
撰,,,,,,,
撲,,扑,,扑,扑,扑,扑
撳,,揿,,揿,揿,揿,揿
撵,,,,,,,
撷,,,,,,,
撸,,,,,,,
撹,,,,,,,
撺,,,,,,,
撻,,挞,,挞,挞,挞,挞
撼,,,,,撼.er1,撼.er1,
撾,,挝,,挝,挝,挝,挝
撿,,捡,捡,捡,捡,拣,捡
擀,,,,,,赶,
擁,,拥,拥,拥,拥,拥,拥
擂,,,,,,擂.er2,
擄,,掳,,掳,虏,虏,掳
擅,,,,,,𢩳,
擇,,择,择,择,择,择,择
擊,,击,击,击,击,击,击
擋,挡,挡,挡,挡,挡,挡,挡
操,,,,,,,
擎,,,,,,,
擐,,,,,,,
擒,,,,,,,
擔,担,担,担,担,担,担,担
擗,,,,,,,
擘,,,,,,,
據,,据,据,据,据,据,据
擞,,,,,,,
擠,挤,挤,挤,挤,挤,挤,挤
擡,抬,抬,,抬,抬,抬,抬
擢,,,,,,,
擤,,,,,,,
擦,,,,,擦.er1,擦.er1,
擬,拟,拟,拟,拟,拟,拟,拟
擭,,,,,,,
擯,,摈,,摈,摈,摈,摈
擰,,拧,,拧,拧,拧,拧
擱,,搁,搁,搁,搁,搁,搁
擲,,掷,掷,掷,掷,掷,掷
擴,,扩,,扩,扩,扩,扩
擷,,撷,,撷,撷,撷,撷
擺,摆,摆,摆,摆,摆,摆,摆
擻,,擞,,擞,擞,擞,擞
擼,,撸,,撸,撸,撸,撸
擾,,扰,扰,扰,扰,扰,扰
攀,,,,,,攀.er2,
攄,,摅,,摅,摅,摅,摅
攆,,撵,,撵,撵,撵,撵
攉,,,,,,,
攏,,拢,,拢,拢,拢,拢
攒,,,,,,,
攔,,拦,拦,拦,拦,拦,拦
攖,,撄,,撄,撄,撄,撄
攘,,,,,,攘.er2,
攙,,搀,,搀,搀,搀,搀
攛,,撺,,撺,撺,撺,撺
攜,,携,,携,携,携.er2,携
攝,,摄,摄,摄,摄,摄.er2,摄
攢,,攒,,攒,攒,攒,攒
攣,,挛,,挛,挛,挛,挛
攤,摊,摊,摊,摊,摊,摊.er2,摊
攥,,,,,,,
攪,撹,搅,,搅,搅,搅,搅
攫,,,,,,攫.er2,
攬,,揽,,揽,揽,揽,揽
攮,,,,,攮.er1,攮.er1,
支,,,,,,,
收,,,,,,,
攸,,,,,,,
改,,,,,,,
攻,,,,,,,
攼,,,,,,,
放,,,,,,,
政,,,,,,,
故,,,,,,,
效,,,,,,,
敉,,,,,,,
敌,,,,,,,
敏,,,,,,,
救,,,,,,,
敔,,,,,,,
敕,,,,,,,
敖,,,,,,,
敗,,败,,败,败,败,败
敘,,叙,,叙,叙,叙,叙
教,,,,,,,
敛,,,,,,,
敝,,,,,,,
敞,,,,,,,
敢,,敢.gbk,,,敢.gbk,攼,敢.gbk
散,,,,,,,
敦,,,,,,,
敬,,,,,,,
数,,,,,,數.er2,
敲,,,,,,敲.er2,
整,,,,,整.er1,整.er1,
敵,,敌,敌,敌,敌,敌,敌
敷,,,,,,𪯈,
數,数,数,数,数,数,數.er2,数
斂,,敛,,敛,敛,敛,敛
斃,,毙,,毙,毙,毙,毙
文,,,,,,,
斉,,,,,,,
斋,,,,,,,
斌,,,,,,,
斐,,,,,,,
斑,,,,,,,
斓,,,,,,阑.er2,
斕,,斓,,斓,斓,阑.er2,斓
斗,,,,,,,
料,,,,,,,
斛,,,,,,斛.er2,
斜,,,,,,,
斟,斟.kmt,,,,,,
斡,,,,,,,
斤,,,,,,,
斥,,,,,,,
斧,,,,,,,
斩,,,,,,,
斫,,,,,,,
斬,,斩,斩,斩,斩,斩,斩
断,,,,,,,
斯,,,,,,斯.er2,
新,,,,,,,
斷,断,断,断,断,断,断,断
方,,,,,,,
於,,于,,于,于,于,于
施,,,,,,,
旁,,,,,,㝑,
旂,,旗,,旗,旗,旗.er2,旗
旃,,,,,,,
旄,,,,,,,
旅,,,,,,吕,
旆,,,,,,,
旋,,,,,,𭻾,
旌,,,,,,,
旎,,,,,,,
族,,,,,,,
旒,,,,,,,
旖,,,,,,,
旗,,,,,,旗.er2,
无,,,,,,,
旡,,,,,,,
既,,,,,,旡,
日,,,,,,,
旦,,,,,,,
旧,,,,,,,
旨,,,,,,,
早,,,,,,,
旬,,,,,,,
旭,,,,,,,
旮,,,,,,,
旯,,,,,,,
旰,,,,,,,
旱,,,,,,,
时,,,,,,,
旷,,,,,,,
旸,,,,,,,
旺,,,,,,,
昀,,,,,,,
昂,,,,,,,
昃,,,,,,,
昆,,,,,,,
昇,,升,,升,升,升,升
昊,,,,,,,
昌,,,,,,,
明,,,,,,,
昏,,,,,,,
易,,,,,𠃓,𠃓,
昔,,,,,,,
昕,,,,,,,
昙,,,,,,,
昝,,,,,,,
星,,,,,,,
映,,,,,,,
昤,,,,,,,
春,,,,,,,
昧,,,,,,,
昨,,,,,,,
昭,,,,,,,
是,,,,,,,
昱,,,,,,,
昴,,,,,,,
昵,,,,,,,
昶,,,,,,,
昼,,,,,,,
昽,,,,,龙,龙,
显,,,,,,,
晁,,,,,,,
時,时,时,时,时,时,时,时
晃,,,,,,,
晅,,,,,,,
晉,,晋,,晋,晋,晋,晋
晋,,,,,,,
晌,,,,,,,
晏,,,,,,,
晒,,,,,,,
晓,,,,,,,
晔,,,,,,,
晕,,,,,,,
晖,,,,,,,
晚,,,,,,,
晝,昼,昼,昼,昼,昼,昼,昼
晞,,,,,,,
晟,,,,,,,
晡,,,,,,,
晤,,,,,,,
晦,,,,,,,
晨,,,,,,,
普,,,,,,,
景,,,,,,,
晰,,,,,,,
晴,,,,,晴.er1,晴.er1,
晶,,,,,,,
晷,,,,,,,
智,,,,,,,
晾,,,,,,,
暂,,,,,,,
暄,,,,,,,
暇,,,,,,暇.er2,
暈,,晕,晕,晕,晕,晕,晕
暉,,晖,,晖,晖,晖,晖
暌,,,,,,,
暍,,,,,,,
暑,,,,,,,
暖,,,,,,,
暗,,,,,,,
暘,,旸,,旸,旸,旸,旸
暝,,,,,,,
暢,,畅,,畅,畅,畅,畅
暧,,,,,,,
暨,,,,,,,
暫,,暂,暂,暂,暂,暂,暂
暮,,,,,,,
暱,,昵,,昵,昵,昵,昵
暴,,,,,,𣅃,
暸,,,,,,,
暹,,,,,,暹.er2,
暾,,,,,,,
曄,,晔,,晔,晔,晔,晔
曆,,历,,历,历,历,历
曇,,昙,,昙,昙,昙,昙
曉,,晓,,晓,晓,晓,晓
曏,,向,,向,向,向,向
曖,,暧,,暧,暧,暧,暧
曙,,,,,,,
曚,,,,,蒙.er1,蒙.er1,
曛,,,,,,,
曜,,,,,𭀦,𭀦,
曝,,,,,,𣅃,
曠,,旷,,旷,旷,旷,旷
曦,,,,,,,
曨,,昽,,昽,龙,龙,昽
曩,,,,,,,
曬,晒.kmt,晒,晒,晒,晒,晒,晒
曰,,,,,,,
曲,,,,,,,
曳,,,,,,,
更,,,,,,,
曷,,,,,,,
書,,书,,书,书,书,书
曹,,,,,,,
曼,,,,,,,
曾,,,,,,,
替,,,,,,,
最,,,,,,最.er2,
會,会,会,会,会,会,会,会
月,,,,,,,
有,,,,,,,
朊,,,,,,,
朋,,,,,,,
服,,,,,,,
朐,,,,,,,
朔,,,,,,,
朕,,,,,,,
朗,,,,,,,
望,,,,,,,
朝,,,,,,䢁,
期,,,,,,期.er2,
朦,,,,,蒙.er1,蒙.er1,
朧,,胧,,胧,龙,龙,胧
木,,,,,,,
未,,,,,,,
末,,,,,,,
本,,,,,,,
札,,,,,,,
朮,,术,,术,术,术,术
术,,,,,,,
朱,,,,,,,
朴,,,,,,,
朵,,,,,,,
机,,,,,,,
朽,,,,,,,
杀,,,,,,,
杂,,,,,,,
权,,,,,,,
杆,,,,,,,
杈,,,,,叉,叉,
杉,,,,,,,
杌,,,,,,,
李,,,,,,,
杏,,,,,,,
材,,,,,,,
村,,,,,,,
杓,,,,,勺,勺,
杖,,,,,,,
杗,,,,,,,
杜,,,,,,,
杞,,,,,,,
束,,,,,,,
杠,,,,,,,
条,,,,,,,
来,,,,,,,
杨,,,,,,,
杩,,,,,,,
杪,,,,,,,
杭,,,,,,,
杯,,,,,,,
杰,,,,,,𣎶,
東,东,东,东,东,东,东,东
杲,,,,,,,
杳,,,,,,,
杴,,锨,,锨,锨,锨,锨
杵,,,,,,,
杷,,,,,,,
杼,,,,,,,
松,,,,,,,
板,,,,,,,
极,,,,,,,
构,,,,,,,
枇,,,,,,,
枉,,,,,,,
枋,,,,,,,
析,,,,,,,
枓,,,,,斗,斗,
枕,,,,,,,
林,,,,,,,
枘,,,,,,,
枚,,,,,,,
果,,,,,,,
枝,,,,,,,
枞,,,,,,,
枟,,,,,,,
枢,,,,,,,
枣,,,,,,,
枥,,,,,,,
枨,,,,,,,
枪,,,,,,,
枫,,,,,,,
枭,,,,,,,
枯,,,,,,,
枰,,,,,,,
枱,,,,,,,
枳,,,,,,,
枴,,拐,,拐,拐,拐,拐
枵,,,,,,,
架,,,,,,,
枷,,,,,,,
枸,,,,,,,
柁,,,,,,,
柃,,,,,,,
柄,,,,,,,
柏,,,,,,,
某,,,,,,,
柑,,,,,,,
柒,,,,,,㲺,
染,,,,,,,
柔,,,,,,,
柘,,,,,,,
柙,,,,,,,
柚,,,,,,,
柜,,,,,,,
柝,,,,,,,
柞,,,,,,,
柠,,,,,,宁,
柢,,,,,,,
查,,,,,,,
柩,,,,,,,
柬,,,,,,𫠣,
柯,,,,,,,
柰,,,,,,,
柱,,,,,,,
柳,,,,,,,
柴,,,,,,,
柵,,栅,,栅,栅,栅,栅
柺,,拐,,拐,拐,拐,拐
柽,,,,,,,
柿,,,,,,,
栀,,,,,,,
栅,,,,,,,
标,,,,,,,
栈,,,,,,,
栉,,,,,,,
栊,,,,,,,
栋,,,,,,,
栌,,,,,,,
栎,,,,,,,
栏,,,,,,,
树,,,,,,,
栓,,,,,,,
栖,,,,,,,
栗,,,,,,,
栘,,,,,,,
栝,,,,,,,
校,,,,,,,
栩,,,,,,,
株,,,,,,,
栱,,,,,,拱,
栲,,,,,,,
栳,,,,,,,
样,,,,,,,
核,,,,,,核.er2,
根,,,,,,,
格,,,,,,,
栽,,,,,,,
栾,,,,,,,
桀,,,,,,,
桁,,,,,,,
桂,,,,,,,
桃,,,,,,,
桄,,,,,,,
桅,,,,,,,
框,,,,,,匡,
案,,,,,,,
桉,,,,,,,
桌,,,,,,,
桎,,,,,,,
桐,,,,,,,
桑,,,,,桑.er1,桑.er1,
桓,,,,,,,
桔,,,,,,,
桜,,,,,,,
桠,,,,,,,
桡,,,,,,,
桢,,,,,,,
档,,,,,,,
桤,,,,,,,
桥,,,,,,,
桦,,,,,,,
桧,,,,,,,
桨,,,,,,,
桩,,,,,,,
桫,,,,,,,
桴,,,,,,,
桶,,,,,,,
桷,,,,,,桷.er2,
桿,,杆,,杆,杆,杆,杆
梁,,,,,,,
梂,,,,,,,
梃,,,,,,,
梅,,,,,,,
梆,,,,,,,
梏,,,,,,,
梓,,,,,,,
梔,,栀,,栀,栀,栀,栀
梗,,,,,,,
條,条,条,条,条,条,条,条
梟,,枭,,枭,枭,枭,枭
梡,,,,,,,
梢,,,,,,,
梦,,,,,,,
梧,,,,,,,
梨,,,,,,,
梭,,,,,,,
梯,,,,,,梯.er2,
械,,,,,,,
梱,,,,,,,
梲,,棁,,棁,棁,棁,棁
梳,,,,,,,
梵,,,,,,,
梹,,,,,,,
梼,,,,,,,
梾,,,,,,,
梿,,,,,,,
检,,,,,,,
棁,,,,,,,
棂,,,,,,,
棄,弃,弃,弃,弃,弃,弃,弃
棉,,,,,,,
棋,,,,,,棋.er2,
棍,,,,,,,
棒,,,,,,,
棕,,,,,,,
棖,,枨,,枨,枨,枨,枨
棗,枣,枣,,枣,枣,枣,枣
棘,,,,,,,
棚,,,,,,,
棟,,栋,栋,栋,栋,栋,栋
棠,,,,,,,
棡,,㭎,,㭎,㭎,㭎,㭎
棣,,,,,,,
棧,,栈,栈,栈,栈,栈,栈
森,,,,,,,
棰,,,,,,,
棱,,,,,,,
棲,,栖,,栖,栖,栖,栖
棵,,,,,,,
棶,,梾,,梾,梾,梾,梾
棹,,,,,,,
棺,,,,,,,
棻,,,,,,,
棼,,,,,,,
椁,,,,,,,
椅,,,,,,𣎷,
椋,,,,,,,
植,,,,,植.er1,植.er1,
椎,,,,,,椎.er2,
椏,,桠,,桠,桠,桠,桠
椐,,,,,,,
椒,,,,,茭,茭,
椟,,,,,,,
椠,,,,,,,
椤,,,,,,,
椭,,,,,,,
椰,,,,,,椰.er2,
椴,,,,,,,
椹,,,,,,,
椽,,,,,,,
椿,,,,,,,
楂,,,,,,,
楊,,杨,,杨,杨,杨,杨
楓,,枫,,枫,枫,枫,枫
